        Grupo 18
        
 Y       X1      Y       X2
QET    Entities QET     TURN
30.6    7       70.9    94.2
49.8    18      63.2    84.0
48.6    10      86.6    98.6
105.8   43      84.1    98.2
89.1    36      69.0    82.5
61.4    22      82.6    105.5
62.7    31      57.0    90.2
31.0    9       71.1    98.9
110.5   55      67.8    99.0
66.7    23      68.3    80.0
57.6    17      74.3    86.1
91.5    38      74.4    91.9
75.2    34      73.3    103.3
130.0   56      79.8    90.8
62.3    31      67.6    105.9
31.7    9       47.4    64.1
107.4   50      70.6    94.5
90.9    46      55.1    85.8
93.6    44      61.8    86.3
83.0    33      75.4    92.6
